Year	House price index	Earnings index
1970	100	100
1970	101.6	101.6
1970	102.4	101.6
1970	103.2	102.4
1970	104	102.4
1971	104.8	103.2
1971	104.8	104
1971	104.8	104.8
1971	104.8	104.8
1971	105.5	105.6
1971	105.5	105.6
1971	105.5	105.6
1971	106.3	105.6
1971	107.1	106.4
1971	107.1	106.4
1972	108.7	106.4
1972	108.7	107.2
1972	109.5	108.1
1972	109.5	108.1
1972	109.5	108.9
1972	110.3	109.7
1972	111.1	109.7
1972	111.1	109.7
1972	111.9	110.5
1972	113.5	111.3
1973	116.6	111.3
1973	117.4	111.3
1973	117.4	111.3
1973	118.2	111.3
1973	119.8	111.3
1973	123	111.3
1973	125.3	111.3
1973	126.9	111.3
1973	128.5	111.3
1973	130.9	111.3
1974	132.5	111.3
1974	134.1	112.1
1974	135.6	112.1
1974	135.6	112.1
1974	134.9	112.1
1974	134.9	112.1
1974	133.3	112.1
1974	131.7	112.9
1974	130.1	113.7
1974	129.3	115.3
1975	128.5	116.1
1975	127.7	116.9
1975	126.9	117.7
1975	126.9	118.5
1975	126.9	119.3
1975	126.9	120.1
1975	127.7	120.9
1975	127.7	121.7
1975	127.7	121.7
1975	127.7	121.7
1976	127.7	121.7
1976	127.7	121.7
1976	127.7	121.7
1976	127.7	121.7
1976	127.7	122.5
1976	127.7	122.6
1976	126.9	122.6
1976	126.2	122.6
1976	124.6	122.6
1976	123.8	121.7
1977	123	120.9
1977	122.2	120.9
1977	122.2	120.9
1977	122.2	120.9
1977	122.2	120.9
1977	122.2	120.9
1977	122.2	121.7
1977	120.6	122.6
1977	119.8	122.6
1977	119	122.6
1978	119	122.6
1978	118.2	122.6
1978	118.2	122.6
1978	117.4	122.6
1978	117.4	123.4
1978	117.5	123.4
1978	116.7	123.4
1978	117.5	123.4
1978	117.5	123.4
1978	117.5	123.4
1979	118.2	123.4
1979	118.2	123.4
1979	119	123.4
1979	119	123.4
1979	118.2	122.6
1979	117.5	122.6
1979	117.5	122.6
1979	117.5	122.6
1979	118.2	122.6
1979	119	122.6
1980	119	122.6
1980	119.8	122.6
1980	120.6	122.6
1980	121.4	121.8
1980	121.4	121.8
1980	122.2	121.8
1980	121.4	122.6
1980	121.4	122.6
1980	121.4	123.4
1980	120.6	123.4
1981	125.4	124.2
1981	127.8	125
1981	128.5	125
1981	128.5	125.8
1981	129.3	125.8
1981	127.8	126.6
1981	127	126.6
1981	126.2	126.6
1981	126.2	126.6
1981	124.6	126.6
1982	123.8	126.6
1982	123	127.4
1982	122.2	128.2
1982	122.2	129
1982	120.6	129.8
1982	119.8	131.4
1982	119	131.4
1982	118.3	132.2
1982	116.7	132.2
1982	112.7	132.2
1983	112.7	132.2
1983	113.5	132.2
1983	113.5	132.2
1983	113.5	131.4
1983	113.5	130.6
1983	113.5	129.8
1983	112.7	129.8
1983	112.7	129.8
1983	112.7	129.8
1983	113.5	129.8
1984	114.3	130.6
1984	115.9	131.4
1984	117.5	133
1984	118.3	133.8
1984	119.8	137.1
1984	120.6	137.1
1984	121.4	137.1
1984	122.2	137.1
1984	123	137.1
1984	123	137.1
1985	123	137.1
1985	123.8	137.1
1985	124.6	137.1
1985	125.4	136.3
1985	124.6	136.3
1985	124.6	135.5
1985	124.6	135.5
1985	124.6	134.7
1985	123.8	134.7
1985	123.8	134.7
1986	123.8	134.7
1986	123	134.7
1986	123	134.7
1986	123	133.9
1986	123	133.9
1986	123	133.9
1986	123	133.9
1986	122.2	133.9
1986	122.2	133
1986	121.4	132.2
1987	120.7	132.2
1987	120.7	131.4
1987	119.9	130.6
1987	119.9	130.6
1987	119.1	130.6
1987	119.1	130.6
1987	119.1	130.6
1987	119.1	130.6
1987	119.9	130.6
1987	121.4	130.6
1988	122.2	129.8
1988	123	129.8
1988	127	129.8
1988	129.4	129.8
1988	131.7	129.8
1988	134.1	129.8
1988	136.5	129.8
1988	141.2	129.8
1988	143.6	129.8
1988	150	129.8
1989	153.1	129.8
1989	160.2	129.8
1989	161	129.8
1989	161.8	129.8
1989	161.8	129.8
1989	161.8	129.8
1989	159.5	129.8
1989	157.9	129
1989	157.1	129
1989	156.3	129
1990	155.5	128.2
1990	153.9	128.2
1990	153.9	128.2
1990	153.1	128.2
1990	153.1	128.2
1990	152.3	129
1990	150.8	129
1990	149.2	129
1990	149.2	129
1990	148.4	129
1991	146.8	129.8
1991	146.8	130.7
1991	146.8	130.7
1991	146.8	130.7
1991	147.6	130.7
1991	149.2	130.7
1991	150	131.5
1991	150.8	131.5
1991	151.5	132.3
1991	151.5	132.3
1992	150.8	133.1
1992	150	133.9
1992	150	133.9
1992	150	134.7
1992	150	134.7
1992	150	134.7
1992	150	134.7
1992	150	134.7
1992	150	134.7
1992	150.8	134.7
1993	150.8	134.7
1993	150.8	134.7
1993	150.8	134.7
1993	150.8	134.7
1993	150.8	134.7
1993	150.8	134.7
1993	150.8	134.7
1993	150.8	135.5
1993	151.6	135.5
1993	151.6	135.5
1994	152.3	135.5
1994	152.3	135.5
1994	153.1	136.3
1994	153.1	136.3
1994	153.9	136.3
1994	153.9	137.1
1994	154.7	137.1
1994	154.7	137.1
1994	154.7	137.1
1994	153.9	137.1
1995	153.1	137.1
1995	152.4	137.1
1995	151.6	137.1
1995	151.6	137.1
1995	150.8	137.1
1995	149.2	137.1
1995	149.2	137.1
1995	148.4	137.1
1995	147.6	137.1
1995	146.8	137.1
1996	146.8	137.1
1996	146.8	137.9
1996	146	137.9
1996	146	137.9
1996	146	138.7
1996	146	138.7
1996	146	138.7
1996	146	139.5
1996	146.8	139.5
1996	146.8	140.3
1997	146.8	140.3
1997	146.8	141.1
1997	147.6	141.9
1997	148.4	141.9
1997	149.2	142.7
1997	150	142.7
1997	150.8	143.6
1997	153.2	145.2
1997	153.9	146
1997	154.7	146
1998	156.3	146
1998	157.1	146.8
1998	160.3	147.6
1998	161.9	147.6
1998	162.7	147.6
1998	162.7	148.4
1998	161.9	149.2
1998	161.9	149.2
1998	161.9	149.2
1998	162.7	149.2
1999	163.5	149.2
1999	165	150
1999	166.6	150
1999	167.4	150.8
1999	168.2	150.8
1999	169	150.8
1999	170.6	150.8
1999	171.4	150.8
1999	172.2	150.8
1999	175.3	150.8
2000	176.9	150.8
2000	177.7	151.6
2000	178.5	151.6
2000	179.3	152.4
2000	179.3	152.4
2000	179.3	151.6
2000	176.9	150.8
2000	175.3	150
2000	175.3	150
2000	175.3	150
2001	177.7	150
2001	178.5	150
2001	178.5	150
2001	180.1	150
2001	181.7	150.8
2001	188	151.6
2001	191.2	152.4
2001	193.6	152.4
2001	195.9	153.2
2001	197.5	153.2
2002	201.5	153.2
2002	203.1	154
2002	205.4	154
2002	208.6	154
2002	212.6	154
2002	218.1	154.8
2002	221.3	154.8
2002	222.9	154.8
2002	225.2	155.6
2002	229.2	155.6
2003	230.8	155.6
2003	231.6	155.6
2003	233.9	155.6
2003	237.1	156.4
2003	245	158.9
2003	249.8	159.7
2003	253.7	159.7
2003	257.7	159.7
2003	260.9	159.7
2003	264.8	160.5
2004	264.8	160.5
2004	265.6	160.5
2004	264	160.5
2004	263.2	160.5
2004	260.1	160.5
2004	259.3	160.5
2004	257.7	160.5
2004	257.7	161.3
2004	258.5	162.1
2004	260.1	162.1
2005	260.1	162.9
2005	259.3	162.9
2005	258.5	163.7
2005	257.7	164.5
2005	257.7	165.3
2005	257.7	165.3
2005	256.9	165.3
2005	256.1	165.3
2005	256.1	165.3
2005	257.7	165.3
2006	259.3	165.3
2006	259.3	165.3
2006	260.1	165.3
2006	262.5	165.3
2006	264	165.3
2006	265.6	164.5
2006	268.8	164.5
2006	270.4	164.5
2006	273.5	164.5
2006	275.1	165.3
2007	276.7	166.1
2007	277.5	166.1
2007	280.7	167.7
2007	283.8	167.7
2007	286.2	168.5
2007	289.4	168.5
2007	292.5	169.3
2007	298.1	169.3
2007	301.3	169.3
2007	303.6	169.3
2008	304.4	169.3
2008	304.4	169.3
2008	302.8	169.3
2008	301.3	169.3
2008	298.9	168.5
2008	293.3	168.5
2008	289.4	168.5
2008	283.8	169.3
2008	283	170.1
2008	282.3	170.9
2009	280.7	171.8
2009	283	173.4
2009	283.1	174.2
2009	285.4	175
2009	288.6	175
2009	292.6	175.8
2009	298.9	175.8
2009	303.6	175.8
2009	307.6	176.6
2009	313.1	177.4
2010	316.3	178.2
2010	321.9	179
2010	324.2	179
2010	325	179
2010	325.8	179
2010	325	179
